YearMonth,total_orders,total_revenue
2016-09,3,267.36
2016-10,308,56001.97
2016-12,1,10.9
2017-01,789,176632.83
2017-02,1733,315704.62
2017-03,2641,527638.5
2017-04,2391,779801.88
2017-05,3660,822850.39
2017-06,3217,569987.05
2017-07,3969,727092.14
2017-08,4293,719259.53
2017-09,4243,844138.09
2017-10,4568,770580.68
2017-11,7451,1153748.6
2017-12,5624,859582.53
2018-01,7220,1085760.17
2018-02,6694,1058050.6300000001
2018-03,7188,1187828.78
2018-04,6934,1164162.44
2018-05,6853,1181413.78
2018-06,6160,1091048.72
2018-07,6273,1002484.74
2018-08,6452,970811.84
2018-09,1,145.0
