customer_state,total_orders,total_revenue
SP,41375,6693142.24
RJ,12762,2293414.52
MG,11544,1782530.41
RS,5432,950960.93
PR,4998,774448.53
BA,3358,656342.56
SC,3612,576640.09
MT,903,496866.5
GO,2007,377508.44
DF,2125,335811.88
ES,2025,306035.55
PE,1648,290448.22
CE,1327,266684.14
PA,970,196791.36000000002
RN,482,157041.15
PB,532,145622.36
TO,279,136590.69
MA,740,130046.33
MS,709,126931.55
PI,493,102932.94
AL,411,89421.4
SE,345,65062.08
RO,247,48790.81
AM,147,23882.34
AC,81,19212.420000000002
AP,68,14014.3
RR,46,7829.43
